Invoice/Item Number,Date,Volume Sold (Liters),Volume Sold (Gallons)
S26597900067,07/06/2015,0.5,0.13
S26650700243,07/08/2015,3.5,0.92
S28981200025,11/11/2015,2.25,0.59
S25327100009,04/28/2015,10.5,2.77
S25675300075,05/18/2015,1.5,0.4
S29353700118,11/30/2015,4.5,1.19
S28838900036,11/03/2015,10.5,2.77
S26953900076,07/27/2015,2.25,0.59
S23348100046,01/06/2015,9,2.38
S26034500001,06/04/2015,3,0.79
S26913600022,07/22/2015,0.75,0.2
S25827200009,05/26/2015,9,2.38
S28402300040,10/12/2015,2.25,0.59
S28481400011,10/15/2015,1.5,0.4
S25766800043,05/21/2015,2.25,0.59
S25234000082,04/22/2015,0.38,0.1
S28856300077,11/04/2015,9,2.38
S28191600010,09/29/2015,9,2.38
S23702400036,01/27/2015,9,2.38
S25837300023,05/26/2015,9,2.38
S26268300027,06/17/2015,9,2.38
S23938700006,02/09/2015,9,2.38
S24357900156,03/04/2015,1.5,0.4
S25331700057,04/28/2015,9,2.38
S23348100201,01/06/2015,1,0.26
S27791400110,09/08/2015,1.5,0.4
S24659400080,03/23/2015,9,2.38
S26185100019,06/15/2015,12,3.17
S27862800066,09/14/2015,9,2.38
S25095300028,04/15/2015,9,2.38
S27546600195,08/26/2015,1.5,0.4
S26507100136,06/30/2015,0.75,0.2
S28926100057,11/09/2015,1.75,0.46
S25605200031,05/12/2015,9,2.38
S25943100005,06/01/2015,2.25,0.59
S28581300054,10/21/2015,3,0.79
S25102400020,04/15/2015,10.5,2.77
S27623300006,08/31/2015,9,2.38
S25560200097,05/11/2015,1.88,0.5
S26211900084,06/15/2015,10.5,2.77
S27041200013,07/29/2015,9,2.38
S24398300086,03/09/2015,1.5,0.4
S24848500201,04/01/2015,3,0.79
S24375000032,03/05/2015,1.5,0.4
S27626000116,08/31/2015,1.5,0.4
S24235400098,02/25/2015,1.5,0.4
S26081500055,06/08/2015,10.5,2.77
S24670600008,03/23/2015,1.12,0.3
S27671300017,09/02/2015,9,2.38
S28461500003,10/14/2015,9,2.38
S25811800057,05/22/2015,1.5,0.4
S26675700049,07/09/2015,2.25,0.59
S26833300041,07/20/2015,4.5,1.19
S25634800020,05/14/2015,1.88,0.5
S25629000192,05/13/2015,0.75,0.2
S28074700007,09/23/2015,9,2.38
S24764300025,03/30/2015,10.5,2.77
S28034300056,09/21/2015,3,0.79
S29161500040,11/18/2015,0.5,0.13
S28081600005,09/24/2015,9,2.38
S26160000129,06/11/2015,3,0.79
S24845500018,04/01/2015,3,0.79
S25968500045,06/02/2015,1.5,0.4
S24477000046,03/11/2015,12,3.17
S23684100035,01/26/2015,1,0.26
S24398300074,03/09/2015,10.5,2.77
S26806000012,07/16/2015,1.5,0.4
S28357000034,10/08/2015,2,0.53
S23785800030,02/02/2015,4.5,1.19
S28408100048,10/12/2015,0.5,0.13
S28342500201,10/07/2015,9,2.38
S26957000014,07/27/2015,9,2.38
S28495100059,10/19/2015,9,2.38
S24863200023,04/02/2015,0.5,0.13
S25340100039,04/28/2015,2.25,0.59
S28298200030,10/06/2015,9,2.38
S24941900060,04/08/2015,3,0.79
S28024100091,09/21/2015,0.5,0.13
S24618700014,03/19/2015,2.25,0.59
S28052600073,09/22/2015,0.5,0.13
S23739600003,01/28/2015,6,1.59
S25446500033,05/04/2015,10.5,2.77
S27324100117,08/13/2015,2,0.53
S25389300022,04/30/2015,1,0.26
S24962900036,04/08/2015,9,2.38
S24332600094,03/03/2015,9,2.38
S28582400011,10/21/2015,9,2.38
S26674700145,07/09/2015,4.5,1.19
S25977200018,06/02/2015,9,2.38
S25871800021,05/27/2015,9,2.38
S26034000102,06/04/2015,9,2.38
S29360700080,11/30/2015,3,0.79
S26728100120,07/13/2015,3,0.79
S28183100012,09/29/2015,1.75,0.46
S24686000053,03/24/2015,0.75,0.2
S25518500010,05/07/2015,9,2.38
